outcome,exposure,spec,status,coef,se_city_cluster,t,p,sig,n_input,treated_x_obs,clusters_city,y_mean,expected_sign,coef_strict,p_strict,sig_strict,near_leads_p,all_leads_p,event0_coef,event0_p,lag1_coef,lag1_p,lag2p_coef,lag2p_p,decision,note
np_liability_verifiability_index,high_lev_pre,main_fe,ok,0.018851174300515736,0.04247262910269039,0.44384288655494664,0.6575325648432138,,26541,595,406,0.005353335056477927,1,0.056127518226546415,0.2548846373122995,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
np_liability_verifiability_index,natural_highlev_pre,main_fe,ok,0.0034397088686791374,0.02740273784468449,0.12552427747092296,0.9002074116635177,,26541,400,406,0.005353335056477927,1,0.04235242650005312,0.26708534916712035,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
np_liability_verifiability_index,ar_np_guarantee_pre,main_fe,ok,-0.013286890867787492,0.06943701527575534,-0.19135169930650445,0.848402330889829,,26541,444,406,0.005353335056477927,1,-0.03894483190611944,0.5927215258084435,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
np_liability_verifiability_index,ar_controller_pledge_pre,main_fe,ok,0.010006285100427573,0.032644894328980004,0.30651914506412253,0.7594595346478146,,26541,380,406,0.005353335056477927,1,-0.042681477769014126,0.3570192398641008,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
np_liability_verifiability_index,ar_np_liability_text_pre,main_fe,ok,-0.01324340511371694,0.05417083648967822,-0.24447481286799688,0.8070597063216662,,26541,686,406,0.005353335056477927,1,-0.04238688239881296,0.4884822564467013,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
np_liability_verifiability_index,ar_np_liability_index_pre,main_fe,ok,0.006487149125221299,0.09214488534349548,0.07040161915703363,0.9439291821784344,,26541,686,406,0.005353335056477927,1,-0.051573607052895584,0.6171939673203028,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_debt_distress_per10k,natural_pre,main_fe,ok,0.7552274462280024,0.41914076887196666,1.8018467835055647,0.07275053827669642,*,26541,997,406,3.1040837575721483,1,-0.12264767308861525,0.8539989554018839,,0.6364763233660914,0.45847377466296946,1.573121829395662,0.12951501635117268,-0.15862361961869714,0.8854037540292161,0.6238477435561572,0.43321889366704136,fragile_candidate,主规格和近端前趋势可用，但严格趋势控制未稳住。
risk_verif_debt_distress_per10k,failure_cost_pre,main_fe,ok,0.9681984284989064,0.4828152813482619,2.0053185263631503,0.04598568489743493,**,26541,1210,406,3.1040837575721483,1,1.1273705002194565,0.08324532754912584,*,0.9525973458119635,0.9528342552638627,1.770752820026813,0.10972164446740873,0.06336226045490241,0.9612030366484814,1.5108937137546443,0.17293211701498157,candidate,主规格、严格趋势控制和近端前趋势同时过关。
risk_verif_debt_distress_per10k,high_lev_pre,main_fe,ok,0.4917606461768063,0.48253699441676645,1.0191149111192777,0.30911432100655567,,26541,595,406,3.1040837575721483,1,0.43280295940004054,0.4621565407477326,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_debt_distress_per10k,natural_highlev_pre,main_fe,ok,0.5394697693216044,0.7329752057592529,0.7360000243975432,0.4624071592328274,,26541,400,406,3.1040837575721483,1,-0.3739636857137561,0.6664097456717246,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_debt_distress_per10k,ar_np_guarantee_pre,main_fe,ok,0.23526214619181063,0.2730710426762596,0.8615419045758234,0.38974906153502076,,26541,444,406,3.1040837575721483,1,-0.11201402100792579,0.8319071941650271,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_debt_distress_per10k,ar_controller_pledge_pre,main_fe,ok,0.7519656990346811,0.7795609060218592,0.9646016022942994,0.33565827003972126,,26541,380,406,3.1040837575721483,1,0.7898621057200247,0.3761066707124505,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_debt_distress_per10k,ar_np_liability_text_pre,main_fe,ok,-0.23847631934111496,0.32724133563477076,-0.7287475430893452,0.4668248463636515,,26541,686,406,3.1040837575721483,1,-0.06709474931758415,0.867136430360893,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_debt_distress_per10k,ar_np_liability_index_pre,main_fe,ok,1.1212677206151676,0.7455333393539518,1.5039806557635793,0.13382385013594456,,26541,686,406,3.1040837575721483,1,-0.05500296214846251,0.9503930273676728,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_guarantee_pledge_per10k,natural_pre,main_fe,ok,0.03825927456609195,0.5272318826442659,0.07256631441597826,0.9422081182137634,,26541,997,406,1.4532012273773107,1,-0.08651834629009375,0.8860851676259973,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_guarantee_pledge_per10k,failure_cost_pre,main_fe,ok,0.6504338151813712,0.8129470852553128,0.8000936678149194,0.4244012589762296,,26541,1210,406,1.4532012273773107,1,0.7424008289839575,0.36248742821648516,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_guarantee_pledge_per10k,high_lev_pre,main_fe,ok,0.550210746924724,0.35388549458714785,1.554770555279793,0.12124092993548596,,26541,595,406,1.4532012273773107,1,0.6982083952772032,0.0884718607009034,*,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_guarantee_pledge_per10k,natural_highlev_pre,main_fe,ok,0.16399816053528224,0.2659148848388704,0.6167317810533848,0.5379618769529038,,26541,400,406,1.4532012273773107,1,0.30036959107824507,0.4297995640923029,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_guarantee_pledge_per10k,ar_np_guarantee_pre,main_fe,ok,0.6385241336660075,0.2274207034874654,2.8076781219753837,0.00537573712517414,***,26541,444,406,1.4532012273773107,1,0.3737156949256633,0.2008134240199171,,0.5780410995245482,0.1535351251227346,-0.42359245797151246,0.5135336841198335,0.6192378597497012,0.00012432965307418442,0.6904857265374682,0.026480650347590062,fragile_candidate,主规格和近端前趋势可用，但严格趋势控制未稳住。
risk_verif_guarantee_pledge_per10k,ar_controller_pledge_pre,main_fe,ok,1.577320595841416,0.9187998923054816,1.716718307273147,0.0872449504481898,*,26541,380,406,1.4532012273773107,1,1.6195962980040868,0.06986400783647273,*,0.3465821361006843,0.007749294444220389,0.868869632073175,0.36636504003307424,1.3305987420180412,0.19172918304206732,1.3034744585859006,0.10535403725972037,candidate,主规格、严格趋势控制和近端前趋势同时过关。
risk_verif_guarantee_pledge_per10k,ar_np_liability_text_pre,main_fe,ok,0.5666359133723566,0.38979923692400753,1.453660909764233,0.14726993671581545,,26541,686,406,1.4532012273773107,1,0.5708885614062087,0.18945561735666394,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_guarantee_pledge_per10k,ar_np_liability_index_pre,main_fe,ok,2.007735592837221,1.2216707537859304,1.6434342777014945,0.10152549106738462,,26541,686,406,1.4532012273773107,1,1.6649872126029885,0.14763405095754067,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_legal_process_per10k,natural_pre,main_fe,ok,0.26102868208841745,0.6239266513018384,0.4183643727091552,0.6760328495577239,,26541,997,406,1.834495158102777,1,0.1667466081667909,0.7891797147554693,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_legal_process_per10k,failure_cost_pre,main_fe,ok,1.0201892331917,0.6235952746020573,1.6359797367655264,0.10307746768301795,,26541,1210,406,1.834495158102777,1,0.7436083529697602,0.29665817497632285,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_legal_process_per10k,high_lev_pre,main_fe,ok,0.7522333330116107,0.4038143093470343,1.8628199040989117,0.06363742171175502,*,26541,595,406,1.834495158102777,1,0.7544000210236769,0.10295334312281557,,0.09108274631676758,0.11000758588844711,-0.0992269347374482,0.851862425072659,-0.14670058394808538,0.6211666660233219,1.504956610598128,0.0473799800811896,base_only,只有主规格方向显著，不能直接写。
risk_verif_legal_process_per10k,natural_highlev_pre,main_fe,ok,0.924230681295835,0.34626343492422645,2.669154718857584,0.00809223841738671,***,26541,400,406,1.834495158102777,1,0.6751031014873766,0.09744229729320275,*,0.04374840490509561,0.003638253326016811,-0.8547620655547326,0.06842380967041573,0.1430202609796719,0.6962566694301522,1.742873682416219,0.07537302398504031,base_only,只有主规格方向显著，不能直接写。
risk_verif_legal_process_per10k,ar_np_guarantee_pre,main_fe,ok,-0.6633717108476521,0.39524626043671685,-1.6783756792908735,0.09449881123011572,*,26541,444,406,1.834495158102777,1,-0.6939903311893163,0.11412409278758351,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_legal_process_per10k,ar_controller_pledge_pre,main_fe,ok,0.3802208868669699,0.5145677148610593,0.7389132195548549,0.46063927803534144,,26541,380,406,1.834495158102777,1,-0.006310545974182774,0.9916865555923087,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_legal_process_per10k,ar_np_liability_text_pre,main_fe,ok,0.21150843475999,0.5813364382341647,0.3638313734512433,0.7162854055952175,,26541,686,406,1.834495158102777,1,-0.03393301833515857,0.9539065635993504,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
risk_verif_legal_process_per10k,ar_np_liability_index_pre,main_fe,ok,0.07134455393369248,0.8055510572896775,0.08856614771723509,0.9294962281753905,,26541,686,406,1.834495158102777,1,-0.10993113441614673,0.8982326562144893,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
np_liability_control_right_per10k,natural_pre,main_fe,ok,-0.03303109413940215,0.07215528519967192,-0.45777788900697663,0.6475018408452557,,26541,997,406,0.06143360070623506,1,-0.07911814089194323,0.30824108400506245,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
np_liability_control_right_per10k,failure_cost_pre,main_fe,ok,0.12946607988726794,0.14539652258630592,0.8904344999751845,0.37407194901309504,,26541,1210,406,0.06143360070623506,1,0.13941309029216153,0.3336985005365194,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
np_liability_control_right_per10k,high_lev_pre,main_fe,ok,0.09315915349160481,0.04768074350287237,1.9538108395057374,0.05181684383565521,*,26541,595,406,0.06143360070623506,1,0.1195911932642761,0.07677197380805234,*,0.20919881538053484,0.09777757890445968,0.210972100482845,0.6651966180990292,0.7706392523893091,0.034449715748861465,0.8212783795186803,0.024973779381357808,candidate,主规格、严格趋势控制和近端前趋势同时过关。
np_liability_control_right_per10k,natural_highlev_pre,main_fe,ok,0.009724070674873811,0.03635186399786596,0.26749854355321817,0.7893015635315508,,26541,400,406,0.06143360070623506,1,0.036338211538518406,0.614807608287133,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
np_liability_control_right_per10k,ar_np_guarantee_pre,main_fe,ok,-0.11231285553231286,0.1086977908297131,-1.0332579408928664,0.3024621383555792,,26541,444,406,0.06143360070623506,1,-0.13659009630774674,0.2661853387257891,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
np_liability_control_right_per10k,ar_controller_pledge_pre,main_fe,ok,0.12862881210754634,0.11164855013419418,1.1520867217079218,0.2503643891795253,,26541,380,406,0.06143360070623506,1,-0.02438867632968023,0.8776962136636586,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
np_liability_control_right_per10k,ar_np_liability_text_pre,main_fe,ok,-0.06778728774637074,0.061792885442649936,-1.097007968810329,0.27367276138031005,,26541,686,406,0.06143360070623506,1,-0.11081536556241263,0.28871582038373655,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
np_liability_control_right_per10k,ar_np_liability_index_pre,main_fe,ok,0.020373013915160134,0.08260548666264052,0.2466302752789678,0.8053927978839148,,26541,686,406,0.06143360070623506,1,-0.10437579162961397,0.4554251076406004,,,,,,,,,,no_signal,当前口径下没有理论方向一致的可用信号。
